"layer","value","count","area_m2"
1,0,14890807,1489080700
1,1111,113038,11303800
1,1112,144250652,14425065200
1,1113,4817694,481769400
1,1121,28732,2873200
1,1122,6767198,676719800
1,1123,4539099,453909900
1,1131,31847,3184700
1,1132,3948043,394804300
1,1212,1463885,146388500
1,1213,1693,169300
1,1222,2031,203100
1,1232,464,46400
1,1311,23500,2350000
1,1312,26043889,2604388900
1,1313,3315258,331525800
1,1322,861014,86101400
1,1323,400497,40049700
1,1332,327071,32707100
1,2111,250383,25038300
1,2112,219355408,21935540800
1,2113,39285215,3928521500
1,2121,61514,6151400
1,2122,15092086,1509208600
1,2123,14347800,1434780000
1,2131,5039,503900
1,2132,18747123,1874712300
1,2212,315913,31591300
1,2213,274,27400
1,2222,171,17100
1,2232,263,26300
1,2311,53408,5340800
1,2312,62150593,6215059300
1,2313,15325790,1532579000
1,2321,5,500
1,2322,5013972,501397200
1,2323,1954775,195477500
1,2331,19,1900
1,2332,879342,87934200
