"layer","value","count","area_m2"
1,0,15020006,1502000600
1,1111,63681321,6368132100
1,1112,6633324,663332400
1,1113,79086492,7908649200
1,1114,108987,10898700
1,1121,2645990,264599000
1,1122,527997,52799700
1,1123,8130332,813033200
1,1124,30710,3071000
1,1131,2797518,279751800
1,1132,152620,15262000
1,1133,1026399,102639900
1,1134,3353,335300
1,1211,811153,81115300
1,1212,73074,7307400
1,1213,579842,57984200
1,1214,1509,150900
1,1221,892,89200
1,1222,58,5800
1,1223,1073,107300
1,1224,8,800
1,1231,459,45900
1,1232,1,100
1,1233,4,400
1,1311,13710543,1371054300
1,1312,1260635,126063500
1,1313,14441196,1444119600
1,1314,17762,1776200
1,1321,261584,26158400
1,1322,51253,5125300
1,1323,946860,94686000
1,1324,1814,181400
1,1331,212137,21213700
1,1332,12800,1280000
1,1333,101833,10183300
1,1334,301,30100
1,2111,99222438,9922243800
1,2112,11753339,1175333900
1,2113,151262786,15126278600
1,2114,174934,17493400
1,2121,5102917,510291700
1,2122,1005501,100550100
1,2123,23420442,2342044200
1,2124,34677,3467700
1,2131,7843492,784349200
1,2132,973516,97351600
1,2133,9920421,992042100
1,2134,14733,1473300
1,2211,150812,15081200
1,2212,24341,2434100
1,2213,140680,14068000
1,2214,354,35400
1,2221,16,1600
1,2222,43,4300
1,2223,112,11200
1,2231,255,25500
1,2232,1,100
1,2233,7,700
1,2311,31673882,3167388200
1,2312,3373819,337381900
1,2313,42728469,4272846900
1,2314,40302,4030200
1,2321,1352020,135202000
1,2322,349040,34904000
1,2323,5257816,525781600
1,2324,10753,1075300
1,2331,540702,54070200
1,2332,28851,2885100
1,2333,309422,30942200
1,2334,386,38600
