"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.11911","count.11912","count.31911","count.31912","count.31913","count.12121","count.12122","count.12123","count.12321","count.12322","count.12323","count.12921","count.12922","count.12923","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","NUTS_ID"
1,3193,1255,27996,10916,3654,65413,8,82279,33201,459025,269839,132456,1418645,14222,6986,70296,16492,11783,101804,30584,18446,201072,48812,28457,306285,217489,118228,892474,219,123,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE22"
2,0,0,0,0,0,0,0,2734,696,12167,6361,2098,16364,370,478,6024,0,0,0,0,0,0,21186,2369,46134,45535,6376,79869,853,148,10913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE23"
3,11305,7676,115292,30018,25588,180074,7025,374906,218389,2601065,399666,235831,2572877,18650,12859,220463,2735,947,11816,23424,18295,62235,149696,42389,445111,702777,271076,2071092,1916,691,6426,624,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE24"
4,3058,1380,40701,662,296,9790,105,353812,319148,3110386,286014,237701,2162701,19632,30285,137160,991,1580,10001,2075,2200,12380,148338,136627,1692294,200959,194626,1801206,4655,2797,49437,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE31"
5,174909,131377,1059984,146626,90133,513932,40175,591016,382159,3650620,522797,358871,2554595,45594,24684,454166,85143,64015,277716,130028,86718,281058,325079,251185,1576752,624332,425343,2403235,7108,4602,96017,8492,4100,689,587,6655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE32"
6,0,0,0,0,0,0,0,28961,10715,830637,11161,3721,140449,4257,2371,292539,0,0,0,0,0,0,0,0,0,461,242,3245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE10"
7,104582,90191,779503,61886,46724,396117,43837,319252,230523,2118942,143609,121721,1178650,25892,8298,149738,100212,112196,842280,141871,114484,977461,113559,112446,813482,88536,81987,595238,193,360,2239,6528,2144,1351,1139,19318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE33"
8,131117,126231,328964,102045,72941,312634,222,218846,139723,1131770,174865,135413,583742,533,400,6085,104264,106167,268617,49794,56094,135456,144960,108589,512476,41118,48631,185221,1652,403,9901,42,2,4817,1738,22178,173754,47974,1562285,89844,30489,443396,1289,23,6188,7514,3672,29576,1433,1101,9966,"BE34"
9,1115906,732685,3766953,588889,448327,1900580,118875,1052657,638791,5081602,1016110,567109,4412866,17112,8574,177189,645199,493441,3219922,258493,210477,1371145,406117,336522,2576114,216242,218731,1568140,9697,4337,58617,13500,9435,9863,13724,46123,1246,1132,12276,2902,4244,48303,0,0,0,0,0,0,0,0,0,"BE35"
10,69397,49557,354583,41170,44952,270881,29371,27614,18895,48445,3893,2590,28236,1,0,14,65096,71087,185265,78941,98572,248843,1451,1352,3663,1644,1711,5705,0,0,0,1226,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRE1"
11,47500,12615,106839,44178,17501,50954,34537,86560,14350,622982,39817,5989,514461,10009,1966,58603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10318,2004,0,0,0,937,171,21324,3739,233,45802,0,0,0,0,0,0,0,0,0,"FRF2"
12,0,0,0,0,0,0,0,225,82,15001,590,590,53154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRE2"
