"ID","count.0","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.32913","count.12911","count.12912","count.12913","count.19911","count.19912","count.19913","count.39111","count.39112","count.39113","count.39911","count.39912","count.39913","count.19111","count.19112","count.19113","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.99911","count.99912","count.99913","count.99991","count.99992","count.99993","count.99111","count.99112","NUTS_ID"
1,1051136,3021,2739,1,33006,23646,25,8823,11289,136,34907,49981,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEA3"
2,303166,309,43,0,0,0,0,10064,14082,7,66,75,0,292,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DE94"
3,272606,0,0,0,0,0,0,20714,47136,26,3464,6800,1,1009,796,21723,33004,36,1979,4004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEA1"
4,2667722,0,0,0,0,0,0,518630,889824,14537,74951,156978,5071,15420,16791,58157,71718,2034,2502,59,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL13"
5,14466179,163,0,3,0,0,0,3118685,6537252,240263,349268,839666,7336,100884,103174,47162,72873,81504,8036,16909,1928,10970,9666,2273,5298,3115,651,4570,4966,5980,237,4222,2114,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL21"
6,30230048,35,0,0,772,1142,1,2755275,5863686,79892,1302363,2701815,6376,126340,194082,576799,713309,58845,66423,93054,4617,2200,57115,52661,293,1902,323,0,1274,410,3,1371,704,1,676,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL22"
7,16389278,0,0,0,0,0,0,81761,104636,6054,486,842,0,11178,10352,404185,354329,61034,3449,2323,5,1982,41630,59974,24437,5886,9588,8,5336,4208,1164,5466,3628,1207,3783,10787,4,68922,23327,18006,18718,12364,2509,4301,669,3,7430,59,12,0,0,"NL23"
8,352564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3924,3112,0,0,0,0,0,828,675,2,989,350,0,0,0,0,0,0,0,707,746,0,8060,5657,13,773,1256,0,1064,241,0,9,0,0,208,82,"NL32"
9,2865518,0,0,0,0,0,0,304153,827025,6954,60822,207723,211,14538,20261,30664,102669,639,425,1504,0,252,1081,968,91,0,0,0,132,58,0,141,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL35"
10,7054,0,0,0,0,0,0,2836,2163,8,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NL41"
