species,taxa,specialist/generalist
Anthyllis vulneraria,plant,
Brachypodium pinnatum,plant,
Bromus erectus,plant,
Carex caryophyllea,plant,
Carlina vulgaris,plant,specialist
Centaurea scabiosa,plant,
Cirsium acaule,plant,
Galium pumilum,plant,
Gentianella ciliata,plant,
Gymnadenia conopsea,plant,
Helianthemum nummularium,plant,specialist
Hippocrepis comosa,plant,specialist
Koeleria pyramidata,plant,
Linum catharticum,plant,
Onobrychis viciifolia,plant,
Ononis repens,plant,
Ophrys insectifera,plant,specialist
Orchis militaris,plant,
Pimpinella saxifraga,plant,
Polygala comosa,plant,
Potentilla neumanniana,plant,
Primula veris,plant,
Sanguisorba minor,plant,
Scabiosa columbaria,plant,
Trifolium montanum,plant,
Aricia Agestis,butterfly,
Cupido minimus,butterfly,
Hesperia comma,butterfly,specialist
Melitaea aurelia,butterfly,
Melitaea britomartis,butterfly,
Phengaris arion,butterfly,
Plebejus argyrognomon,butterfly,
Polyommatus bellargus,butterfly,specialist
Polyommatus coridon,butterfly,specialist
Polyommatus dorylas,butterfly,
Polyommatus thersites,butterfly,
Pyrgus serratulae,butterfly,
Spialia sertorius,butterfly,
Thymelicus acteon,butterfly,
Daucus carota,plant,generalist
Stellaria holostea,plant,generalist
Nymphalis io,butterfly,generalist
Polyommatus icarus,butterfly,generalist
Anthocharis cardamines,butterfly,generalist
Pieris rapae,butterfly,generalist
Pieris napi,butterfly,generalist
Pieris brassicae,butterfly,generalist
Gonepteryx rhamni,butterfly,generalist
Nymphalis urticae,butterfly,generalist
Vanessa cardui,butterfly,generalist
Vanessa atalanta,butterfly,generalist
