species,taxa,specialist/generalist
Nymphalis io,butterfly,generalist
Polyommatus icarus,butterfly,generalist
Anthocharis cardamines,butterfly,generalist
Pieris rapae,butterfly,generalist
Pieris napi,butterfly,generalist
Pieris brassicae,butterfly,generalist
Gonepteryx rhamni,butterfly,generalist
Nymphalis urticae,butterfly,generalist
Vanessa cardui,butterfly,generalist
Vanessa atalanta,butterfly,generalist
Hesperia comma,butterfly,specialist
Polyommatus bellargus,butterfly,specialist
Polyommatus coridon,butterfly,specialist
Daucus carota,plant,generalist
Stellaria holostea,plant,generalist
Carlina vulgaris,plant,specialist
Helianthemum nummularium,plant,specialist
Hippocrepis comosa,plant,specialist
Ophrys insectifera,plant,specialist
