"CNTR_CODE","NAME_ENGL","count.0","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11311","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19911","count.91111","count.91112","count.91113","count.91211","count.91212","count.91311","count.91313","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92211","count.92311","count.92313","count.92911","count.92912","count.92913","count.11312","count.11313","count.92312","count.99911","count.255","count.31111","count.31112","count.31113","count.31911","count.31912","count.32111","count.32112","count.32113","count.91312","count.32911","count.32912","count.32913","count.11121","count.11122","count.11123","count.11321","count.11322","count.11323","count.11921","count.11922","count.12121","count.12122","count.12123","count.12321","count.12322","count.12921","count.12922","count.92321","count.92991","count.92992","count.92993","count.19912","count.91213","count.92212","count.92213","count.31311","count.32311","count.32312","count.32313","count.11221","count.11222","count.11223","count.11923","count.12221","count.12222","count.12323","count.12923","count.91121","count.91122","count.91123","count.91921","count.91922","count.91923","count.92121","count.92122","count.92123","count.92322","count.92323","count.92921","count.92922","count.92923","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","count.32921","count.32922","count.31121","count.31122","count.31123","count.31321","count.31322","count.32923","count.19121","count.19122","count.19123","count.19321","count.19322","count.19323","count.19921","count.19922","count.19923","count.99121","count.99122","count.99123","count.99921","count.99922","count.99923","count.91321","count.91322","count.99321","count.99322","count.99323","count.99912","count.99913","count.99991","count.99992","count.99993","count.99111","count.99113","count.19111","count.19112","count.19113","count.19913","count.99112","count.99211","count.99212","count.99213","count.31312","count.31313","count.31323","count.31913","count.31921","count.31922","count.31923","count.11991","count.11993","count.19991","count.19993","count.91991","count.91993","count.31211","count.31212","count.31213","count.32211","count.32212","count.32213","count.91323","count.39121","count.39122","count.39321","count.39322","count.39323","count.39921","count.39922","count.39923","count.12991","count.12992","count.12993","count.39123","count.91992","count.11131","count.11132","count.11133","count.11231","count.11232","count.11233","count.11931","count.11932","count.11933","count.12131","count.12132","count.12133","count.12231","count.12232","count.12931","count.12932","count.12933","count.91931","count.91933","count.11331","count.11332","count.11333","count.12331","count.12332","count.12333","count.39111","count.39112","count.39113","count.39312","count.39911","count.39912","count.19992","count.12233","count.19931","count.19932","count.19933","count.91131","count.91132","count.91133","count.91231","count.91232","count.91233","count.91932","count.92131","count.92132","count.92133","count.92231","count.92232","count.92233","count.92931","count.92932","count.92933","count.99131","count.99132","count.99231","count.99232","count.99233","count.99931","count.99932","count.99933","count.31221","count.31222","count.32221","count.32223","count.91221","count.91222","count.91223","count.19131","count.19232","count.19311","count.19312","count.31223","count.19231","count.99133","count.32231","count.32232","count.32233","count.32931","count.32932","count.32933","count.12223","count.39311","count.99311","count.99312","count.19313","count.99313","count.19211","count.19212","count.39913","count.19213","count.39313","count.32222","count.92221","count.92222","count.92223","count.19191","count.19192","count.99191","count.99192","count.92391","count.92191","count.92192","count.12191","count.12192","count.19221","count.19222","count.99221","count.99222","count.99223","count.19223","count.11191","count.11192","count.91191","count.91192","count.39211","count.39212","count.39213","count.11992","count.39991","count.39992","count.19132","count.19133","count.39993","count.31931","count.31932"
"AL","Albania",75459671,190173,711,183,10905,4,18,46645,9252859,94035,12791,153996,2924,203,8889,546,10,1836,17,0,7107322,184921,11321,2176,4039,0,6,0,0,0,0,166777,1052,419,0,0,0,0,0,0,75965,583,125,480,22,0,145745,2396,6352,0,12,1066376,14642,0,0,0,0,1085096,20326,1709,297082,277,526,6222,2,3,9916652,24895,63632,75,92,3247,0,1292612,12790,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17874,0,0,9,9313,0,0,0,175435,190,377,0,0,0,0,0,40071,5745,8818,17661,1,24,0,0,0,282570,81,14287,5,26,0,0,309,0,0,0,0,0,0,362,4,0,0,0,0,29585,0,41,0,0,0,0,0,99,458,3695,430,15,0,0,0,0,0,2,0,0,0,0,0,0,0,1885,1138353,4937,1860,188,5,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria",659807089,12332760,7397723,22663,0,0,0,1464463,306894,180637,393,11053064,6998751,21380,0,0,0,1640640,1516496,2903,56404,36710,61,0,29092,11007,26,0,0,0,0,1098,629,0,1685,1593,0,0,0,0,2355,1650,0,1000142,2200,0,0,0,248259,385426,643,1538,396,348806,874768,988,0,626,1442,2,35212700,12993769,210619,674532,697207,1140,816516,125828,59217600,10610050,91875,1101936,984587,1022495,58076,0,0,0,0,0,0,0,0,36171,84704,238297,307,0,0,0,5578,0,0,1880,3427,0,0,0,0,0,0,0,0,0,0,0,481,6,0,213813,764246,901,81114,277688,293,3702,6246,2230779,4861518,7417,281680,619829,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103140,85,609,2,10541,24701,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BA","Bosnia and Herzegovina",246645448,0,0,0,0,0,0,0,6972422,1388539,13607,0,0,0,0,0,0,0,0,0,9625685,2826787,29027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59768522,2265983,0,0,0,0,0,9117961,627530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97540,0,0,0,111282,0,0,0,809,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium",231530116,2571920,1317263,5085,0,0,0,1783694,51776,18146,63,9596524,4638835,14787,0,0,0,8478318,4498815,14866,502174,212906,683,0,0,0,0,0,0,0,0,0,0,0,92012,62272,117,0,0,0,3492,1175,10,772659,3173,0,681,0,1548413,1325759,3051,28676,23386,7941798,5327944,12269,0,219755,120811,297,135507,20188,186,2739,848,2,0,0,4041477,1354531,10443,1325005,374292,34649,9084,0,0,0,0,0,0,0,0,1041189,8144393,5359319,12407,0,0,0,0,0,0,1547,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541191,221309,874,396105,130606,483,896,91,2947,8606,5,39,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,293,0,0,0,0,100,12,0,0,0,0,0,0,712324,1829,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG","Bulgaria",933100316,60760391,3982129,96143,317573,5280,477,830403,1325804,99688,2543,94407779,7371170,161981,218177,6742,390,2180168,449254,3858,2949926,303596,5636,41358,65869,2061,111,0,0,0,0,10443,75,33,257824,56743,381,563,2399,4,56900,6633,105,156729,1269,418,41321,0,0,0,0,0,0,0,0,0,0,0,0,0,167820,272,186,0,0,0,12124,0,180401,796,128,15,0,2280,3,0,0,0,0,3594,0,5,1,0,0,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6810,92,0,0,0,53819,138,231400,12552,401,97,14961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,202,55,0,0,2808,188,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH","Switzerland",222341212,42273,20074,296,0,0,0,232,959386,290754,20325,96369,56855,316,0,0,0,0,0,0,2560489,1123609,35893,0,0,0,0,0,0,0,0,3959,2374,15,150,199,0,0,0,0,61937,92381,195,149,0,0,0,0,0,0,0,0,0,0,0,0,0,31692,61439,1223,611592,91732,7405,685,720,0,29417471,6132831,1158979,140789,4355,906,1016,27182083,6023356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161362,0,0,1,290506,0,0,0,63900,61224,149,0,0,0,0,0,26674,35665,94,26501,29650,118,0,0,0,2071981,4353433,10094,16495,69,0,0,7593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3170291,3960494,8012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY","Cyprus",78117239,0,0,0,0,0,0,0,2101675,221918,4420,0,0,0,0,0,0,0,0,0,8211996,482382,19852,71145,0,0,0,0,0,0,0,74440,7343,150,0,0,0,0,0,0,705746,66285,1598,0,0,0,114152,0,0,0,0,342695,14746,0,0,0,0,479779,14953,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12936,279,246,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,815,0,0,0,0,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2217,1495,7,0,0,0,0,0,107337,25013,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4753,696,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13
"CZ","Czechia",646946603,11250361,2289367,14587,0,0,0,1280762,130407,22995,224,84400999,21090576,104557,0,0,0,11467434,3118117,14532,1384283,303787,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283495,1745,0,0,0,0,0,0,0,0,3227,6939,9,0,0,0,0,102739,1004,93,4061,176,5,0,0,3810919,306533,4676,317734,56299,4211,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany",2930466282,100565009,61533876,276399,191032,77274,408,4799509,2533762,964476,6843,167146135,107557690,2615872,35629,9620,49,14373904,11421608,134431,6521535,2114557,94029,354498,309801,209598,1366,0,0,10685,23,149312,59093,3832,1911262,1435090,122841,0,45687,2410,846183,294108,93429,4224080,12784,21082,1469751,28586,2410286,2623233,11444,30498,21005,17667924,23169883,464258,11377,393526,239430,28666,13684618,7046939,62757,347538,235641,548,152515,36506,23541939,13080037,70185,2969810,1673568,212006,111206,907,1900,87,159,138031,0,0,0,853380,2888869,3588664,52109,0,0,0,974,0,0,5192,419,0,0,0,0,0,0,25844,30773,53,812,8,3039,1695,7,9013955,12111067,53778,617755,891243,1664,70033,58023,3555987,2628760,15977,122761,126595,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368453,165606,40617,15825,3294,432413,43911,250993,106298,3914,22429,233611,0,0,0,959480,2542,221,32,17205,12854,61,0,0,22730,4094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22302,15367,8291,0,16822,6248,9287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19478,19866,0,0,0,0,0,0,0,0,0,0,0,19818,9759,1505,307,0,0,1880,0,0,0,0,0,0,673,166,397,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark",357023240,30821,9476,1133,0,0,0,4285,1766,1216,80,35791140,11506835,1687510,0,0,0,8699396,3060516,295200,2324623,506848,175406,74466,7287,2752,455,0,0,1240,126,3425,1037,811,3333150,897764,282469,0,447217,23385,3080494,532613,347612,1910,2,127172,114989,114270,0,0,0,0,0,516041,252721,22262,134,18054,13251,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12207,2242,3608,13587,0,0,0,0,331704,148510,4909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9139,5594,7365,518,62,21233,6449,36959,6922,5655,1300,2014,0,0,0,0,0,0,0,0,0,0,0,0,361,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,258,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,101,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638,887,0,0,0,0,0,0,0,0,0,0,0,1711,112,139,340,0,0,7,0,0,0,0,0,0,0,0,0,0,172,72,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
