"NAME_ENGL","ISO3_CODE","calc_grass","calc_grass_intensive","non_calc_grass","grass_missing_data","all_grass","total_area","calcgrass_pc_totalarea","allgrass_pc_totalarea","calcgrass_pc_grasstotalarea","missinggrass_pc_grasstotalarea"
"Austria","AUT",1398.615,990.4172,17633.1772,283.2117,19315.0039,83943.1519,1.6661454428899,23.0096243264842,7.24108059848748,1.46627824393036
"Belgium","BEL",274.4585,163.1355,8169.7875,158.8997,8603.1457,30661.0728,0.895136650274024,28.0588541572492,3.19021099456679,1.84699533799596
"Bulgaria","BGR",6628.3432,681.5475,12973.5754,619.1416,20221.0602,110997.1878,5.97163165245525,18.2176328975427,32.7794049097386,3.06186517361736
"France","FRA",30980.3058,8055.9319,110914.9295,3717.5393,145612.7746,548922.142,5.6438433485527,26.5270360691699,21.2758158651281,2.55303101682673
"Cyprus","CYP",0,0,0,1426.4189,1426.4189,9121.4925,0,15.6379989349331,0,100
"Czechia","CZE",1260.0224,396.6413,14933.4991,207.3254,16400.8469,78872.5912,1.59754152973739,20.7941017918529,7.68266667985298,1.26411398913796
"Germany","DEU",11443.4554,8209.3066,60369.5037,2477.4429,74290.402,357503.4096,3.20093601703093,20.7803338388077,15.4036794685806,3.33480884919697
"Denmark","DNK",3.8532,2.1742,9401.6142,1435.7654,10841.2328,43185.2101,0.00892249914051015,25.104040885516,0.0355420833689689,13.2435621159247
"Estonia","EST",193.8754,23.5643,8780.2803,620.1892,9594.3449,45337.4954,0.427627062962988,21.162053208612,2.02072577149066,6.46411199997615
"Greece","GRC",6101.7842,722.8564,14975.0311,2662.2911,23739.1064,131670.8177,4.63412038186196,18.0291326617925,25.7035125804061,11.2147907134365
"Spain","ESP",20041.0177,1325.0944,61610.0649,2552.8595,84203.9421,498553.09,4.01983622245727,16.8896640676723,23.8005694272596,3.03175770199481
"Finland","FIN",1512.6566,37.5912,34248.1727,1919.7246,37680.5539,337968.7716,0.447572890488915,11.1491229564241,4.01442241006972,5.09473561639974
"Croatia","HRV",0.0515,0.0394,135.8265,10181.6976,10317.5756,56504.7376,9.11428000331073e-05,18.2596646550926,0.000499148268901465,98.6830433304506
"Hungary","HUN",1145.6756,283.5087,16000.0481,405.1245,17550.8482,93011.7035,1.2317542383255,18.8695051693145,6.52775060751765,2.30829014862085
"Ireland","IRL",675.3502,116.6034,41848.9066,2763.1035,45287.3603,69936.8294,0.965657445145776,64.754666015786,1.49125538677069,6.10126861379465
"Italy","ITA",17459.8452,3979.6515,44551.8241,3028.602,65040.2713,300603.1385,5.80827109361668,21.6365908967381,26.8446684661969,4.65650271664842
"Lithuania","LTU",9254.0276,4819.6373,6123.8164,281.9199,15659.7639,64896.8414,14.2595963075639,24.1302404896396,59.0942983501814,1.80028193145364
"Luxembourg","LUX",106.0686,39.3757,746.9693,8.2523,861.2902,2595.6188,4.08644751686958,33.1824611533866,12.3150826515848,0.958132346101233
"Latvia","LVA",10995.6331,1742.8735,2236.231,243.4659,13475.33,64592.279,17.023138477588,20.8621374080949,81.5982473156501,1.80675278453292
"Romania","ROU",5874.4325,430.3623,50496.5161,1173.7129,57544.6615,238368.3168,2.46443511405455,24.1410696994107,10.2084752032124,2.03965558125666
"Malta","MLT",NA,NA,0,0,0,0,NA,NA,NA,NA
"Netherlands","NLD",4.4735,5.078,12775.0467,1118.2793,13897.7995,37397.6825,0.0119619711729463,37.1621944755534,0.0321885489857585,8.04644864821945
"Poland","POL",2783.0863,409.865,63438.3154,1284.9194,67506.3211,311951.3158,0.892154050661004,21.6400180672038,4.12270474031209,1.90340605007432
"Portugal","PRT",633.2222,77.594,18829.7297,325.9347,19788.8866,88778.8882,0.713257636853353,22.2900815736956,3.19988796135706,1.64705931459529
"Sweden","SWE",5359.0098,936.9922,55829.091,3536.1223,64724.2231,449627.539,1.19187757313949,14.3950753648121,8.27975917411977,5.46336770166655
"Slovenia","SVN",68.5281,31.6543,3830.8547,77.3275,3976.7103,20273.5413,0.338017413859512,19.6152721478413,1.72323591185408,1.94450925932422
"Slovakia","SVK",2122.7554,291.2522,6875.3287,107.8123,9105.8964,49022.0531,4.33020501134417,18.5751020697254,23.3118773457603,1.18398338026336
