"NAME_ENGL","ISO3_CODE","calcgrass","calcgrass_himow","calcgrass_hilivestck","calcgrass_himow_hilivestck","calcgrass_intensive","mmucalc_grass","noncalc_grass","grass_missing_data","all_grass","non_grass","total_area","calcgrass_pc_totalarea","abiotic_calcgrass_pc_totalarea","all_grass_pc_totalarea","calcgrass_pc_grasstotalarea","abiotic_calcgrass_pc_grasstotalarea","mmucalc_grass_pc_grasstotalarea","missinggrass_pc_grasstotalarea"
"Austria","AUT",1233.276,739.7723,24.8259,38.5426,803.1408,2.2663,16421.3898,271.1869,17962.443,65980.7089,83943.1519,1.46918000109071,2.42594750602878,21.398342322669,6.8658589480284,11.3370814871897,0.0126168806770883,1.50974396968163
"Belgium","BEL",257.192,131.7263,154.8413,132.5759,419.1435,0.5085,7104.2935,138.475,7508.0612,23153.0116,30661.0728,0.838822573748952,2.20584421299179,24.4872749527538,3.42554479976801,9.0081244942436,0.00677272049940136,1.84435097572193
"Bulgaria","BGR",6076.0391,398.2129,0,0,398.2129,9.6143,11027.4708,557.2031,17687.1562,93310.0316,110997.1878,5.47404778483946,5.83280723441896,15.9347786647258,34.3528322546278,36.6042563699415,0.0543575230030478,3.15032611064972
"France","FRA",26088.7626,5106.3042,2049.8306,626.7151,7782.8499,72.589,88405.7068,3298.9114,118004.254,430917.888,548922.142,4.75272549672445,6.17056771960203,21.4974483576215,22.1083238236479,28.7037215624447,0.0615138840672642,2.79558684384378
"Cyprus","CYP",0,0,0,0,0,0,0,1309.7686,1309.7686,7811.7239,9121.4925,0,0,14.3591479135679,0,0,0,100
"Czechia","CZE",1125.0361,228.9367,0,0,228.9367,1.4587,12854.0381,184.7949,14177.9309,64694.6603,78872.5912,1.42639677850472,1.71665819443751,17.9757386999604,7.9351219013206,9.54986175027839,0.0102885252459511,1.30339822717009
"Germany","DEU",10056.5009,6153.3876,241.0286,262.3233,6656.7395,27.6399,51718.0289,2304.1898,64456.7814,293046.6282,357503.4096,2.81298041639713,4.67498769276073,18.0296969676789,15.6019284264169,25.9293747484574,0.0428812909978779,3.57478259068021
"Denmark","DNK",3.0821,0.9476,0,0,0.9476,0.1133,6032.2534,1246.449,7482.8861,35702.324,43185.2101,0.00713693413291973,0.00933120387898727,17.3274277991761,0.0411886531321117,0.0538522161923593,0.00151412167024699,16.6573295830335
"Estonia","EST",178.0654,11.8139,0,0,11.8139,0.2152,7362.7164,585.4068,8134.2515,37203.2439,45337.4954,0.392755264553057,0.418812945719097,17.9415546188288,2.18908156454223,2.33431803774447,0.00264560297895879,7.19681214675991
"Greece","GRC",5766.0071,535.3821,427.8211,66.8179,1030.0211,10.7058,12849.1436,2450.5982,21099.6399,110571.1778,131670.8177,4.37910783932194,5.16137768315842,16.0245377590603,27.3275142482408,32.2092141487211,0.0507392545595056,11.614407694228
"Spain","ESP",17152.9351,930.8251,499.0504,46.0244,1475.8999,585.035,52272.728,2332.6768,73509.5355,425043.5545,498553.09,3.44054333310821,3.73657998990639,14.7445752467405,23.3342993984774,25.3420659963223,0.795862735386214,3.17329824509638
