"NUTS_ID","NAME_LATN","NAME_ENGL","ISO3_CODE","calcgrass","calcgrass_himow","calcgrass_hilivestck","calcgrass_himow_hilivestck","calcgrass_intensive","mmucalc_grass","noncalc_grass","grass_missing_data","all_grass","non_grass","total_area","calcgrass_pc_totalarea","abiotic_calcgrass_pc_totalarea","all_grass_pc_totalarea","calcgrass_pc_grasstotalarea","abiotic_calcgrass_pc_grasstotalarea","mmucalc_grass_pc_grasstotalarea","missinggrass_pc_grasstotalarea"
"AT11","Burgenland","Austria","AUT",255.9928,114.2882,0,0,114.2882,0.3824,170.4138,12.1284,438.985,3526.3925,3965.3775,6.45569810188311,9.33784992727679,11.0704466346521,58.3147032358737,84.349351344579,0.087110037928403,2.76282788705764
"AT33","Tirol","Austria","AUT",16.0745,32.9606,0,0,32.9606,0.3422,3558.1643,91.9588,3677.9423,8973.1239,12651.0662,0.127060437008859,0.387596580594923,29.0721923500803,0.437051445858735,1.33322102415799,0.00930411551045812,2.50027848452109
"AT34","Vorarlberg","Austria","AUT",0,0,0,0,0,0,893.4639,8.1825,914.0291,1704.9937,2619.0228,0,0,34.8996236306152,0,0,0,0.895212198386244
"BE22","Prov. Limburg (BE)","Belgium","BEL",0.6611,0.4117,5.3735,9.7885,15.5737,0.0012,413.7117,16.6051,431.3626,1995.2113,2426.5739,0.0272441733589898,0.669042059671045,17.7766108833529,0.153258534699114,3.76360862068246,0.000278188234214093,3.84945287329036
"BG34","Yugoiztochen","Bulgaria","BGR",861.3587,23.4323,0,0,23.4323,1.4371,2063.9262,172.9142,3103.1701,16696.7996,19799.9697,4.35030312192852,4.46864825252738,15.6726002464539,27.7573794617317,28.512487923237,0.0463107065900126,5.57217923696803
"BE23","Prov. Oost-Vlaanderen","Belgium","BEL",0,0,0,0,0,0,759.0654,12.5876,772.3583,2235.2511,3007.6094,0,0,25.680139847947,0,0,0,1.62976173105151
"BE24","Prov. Vlaams-Brabant","Belgium","BEL",0.9231,0.5089,0.2636,0.09,0.8625,0.0014,468.7986,9.6222,479.7917,1639.7541,2119.5458,0.0435517835943908,0.0842444640733878,22.6365337328403,0.192395991843961,0.372161502585393,0.000291793292797687,2.0054953013985
"BG41","Yugozapaden","Bulgaria","BGR",1317.4547,31.334,0,0,31.334,1.9399,3270.3916,101.9001,4696.7789,15603.2752,20300.0541,6.48990733477897,6.644261603224,23.136780211832,28.0501749826887,28.7173130504397,0.0413027745461895,2.16957413090065
"BE25","Prov. West-Vlaanderen","Belgium","BEL",0.2211,0.1228,0.0194,4e-04,0.1426,1e-04,687.5295,31.8213,720.0497,2450.6251,3170.6748,0.00697327900041972,0.0114707443349283,22.7096673553529,0.0307062137516341,0.0505104022680657,1.38879302359268e-05,4.41931994416496
"BE31","Prov. Brabant wallon","Belgium","BEL",0.2787,0.1281,0.097,0.1294,0.3545,0,166.0873,3.324,169.8496,927.4511,1097.3007,0.025398689711945,0.0577052397761161,15.4788564337925,0.164086344624892,0.372800406948265,0,1.95702550962734
"BE32","Prov. Hainaut","Belgium","BEL",37.6614,17.5529,10.1359,6.1049,33.7937,0.047,777.9554,16.6435,832.9891,2979.7987,3812.7878,0.987765435044667,1.87409065880876,21.8472452099222,4.52123563201487,8.57815546445926,0.00564233073397959,1.99804535257424
"BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest","Belgium","BEL",0,0,0,0,0,0,6.8016,0.8683,7.675,154.1023,161.7773,0,0,4.74417609887172,0,0,0,11.3133550488599
"BE21","Prov. Antwerpen","Belgium","BEL",0,0,0,0,0,0,556.2312,19.1967,575.9576,2295.8643,2871.8219,0,0,20.0554776742945,0,0,0,3.33300576292422
"BE33","Prov. Liège","Belgium","BEL",22.4918,22.9236,39.7836,61.0134,123.7206,0.056,1181.1798,14.4403,1219.6961,2633.8997,3853.5958,0.5836574764795,3.7941810088126,31.6508571033838,1.84404951364524,11.9876090445809,0.00459130762162804,1.18392606158206
"BG42","Yuzhen tsentralen","Bulgaria","BGR",828.7429,46.2756,0,0,46.2756,1.4677,3176.0813,100.511,4112.1039,18257.5914,22369.6953,3.70475721231661,3.91162458077826,18.3824761350236,20.1537441697424,21.2790951123584,0.0356921915324173,2.44427189692362
